net,length_um
net7,1468.61
SEL2,1018.89
net4,727.205
analog_io2,692.75
net2,653.82
net1,561.67
net6,490.18
net3,461.69
net5,213.72
io_in[2],10.68
io_in[0],8.84
io_in[3],8.84
io_in[1],8.72
io_in[4],8.72
analog_io3,6.31
analog_io1,5.97
