net,length_um
net8,1468.61
net1,1012.42
net5,727.205
analog_io2,692.75
net3,653.82
net2,561.67
net7,490.18
net4,461.69
net6,213.72
io_in[2],10.68
io_in[0],8.84
io_in[3],8.84
io_in[1],8.72
io_in[4],8.72
analog_io3,6.31
analog_io1,5.97
SEL2,5.07
