net,length_um
analog_io1,854.38
net6,793.53
net1,720.17
analog_io3,713.41
analog_io2,519.01
net3,448.34
net2,363.94
net4,289.16
net5,199.81
net8,9.42
io_in[1],8.84
io_in[2],8.84
io_in[3],8.84
SEL2,8.72
io_in[0],8.72
net13,8.5
io_in[4],8.38
net9,8.04
net10,8.04
net11,8.04
net12,8.04
net14,8.04
net15,8.04
net7,8.04
