net,length_um
net7,1857.37
SEL2,1451.01
analog_io2,906.17
net6,903.08
net4,873.795
net1,837.975
net2,819.64
net5,566.73
net3,521.895
io_in[3],9.18
io_in[0],8.72
io_in[1],8.72
io_in[2],8.72
io_in[4],7.92
analog_io1,6.43
analog_io3,6.31
