net,length_um
net7,1463.79
SEL2,1124.93
net2,810.24
analog_io2,784.89
net4,663.45
net1,633.845
net6,589.31
net3,449.435
net5,322.66
io_in[2],10.22
io_in[0],8.72
io_in[1],8.72
io_in[3],8.72
io_in[4],8.72
analog_io3,6.31
analog_io1,5.97
