net,length_um
net5,1463.79
SEL2,1124.93
analog_io3,820.69
analog_io2,784.89
net2,663.45
analog_io1,637.115
net4,589.31
net1,449.435
net3,322.66
io_in[2],10.22
io_in[0],8.72
io_in[1],8.72
io_in[3],8.72
io_in[4],8.72
