net,length_um
net8,1464.25
SEL2,1125.85
net3,810.24
net2,777.84
net5,663.45
net1,635.695
net7,589.31
net4,451.615
net6,323.12
io_in[2],10.22
io_in[0],8.72
io_in[1],8.72
io_in[3],8.72
io_in[4],8.72
analog_io3,6.31
analog_io1,5.97
analog_io2,4.95
