net,length_um
io_in[13],4736.74
io_in[8],4478.88
io_in[9],4465.76
io_in[10],4453.32
io_in[11],4440.88
io_in[12],4427.76
analog_io[16],3550.81
analog_io[14],3525.29
analog_io[15],3524.67
